cluster,KO,Description
NVE6899,K11830,"TFAM; transcription factor A, mitochondrial"
NVE3675,,
NVE5900,K07440,CYP46A1; cholesterol 24-hydroxylase [EC:1.14.14.25]
NVE11368,K14457,MOGAT2; 2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22]
NVE21615,,
NVE8733,K07883,RAB3C; Ras-related protein Rab-3C
NVE19881,,
NVE15226,,
NVE4370,K01493,comEB; dCMP deaminase [EC:3.5.4.12]
NVE19896,,
NVE19799,K14716,"SLC39A10; solute carrier family 39 (zinc transporter), member 10"
NVE5142,,
NVE3401,K10735,GINS4; GINS complex subunit 4
NVE16669,,
NVE2387,K11344,EAF6; chromatin modification-related protein EAF6
NVE911,K04856,CACNA1I; voltage-dependent calcium channel T type alpha-1I
NVE18888,,
NVE16262,,
NVE15808,K16744,B9D1; B9 domain-containing protein 1
NVE25510,,
NVE11798,,
NVE19444,,
NVE8500,,
NVE3548,,
NVE13227,K04358,FGF; fibroblast growth factor
NVE25116,,
NVE14964,K10275,FBXL9; F-box and leucine-rich repeat protein 9
NVE1931,,
NVE5738,,
NVE12649,K00760,hprT; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
NVE20395,K04612,CASR; calcium-sensing receptor
NVE7477,,
NVE11078,,
NVE13532,K14165,atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
NVE7686,,
NVE11925,K10639,CCNB1IP1; E3 ubiquitin-protein ligase CCNP1IP1 [EC:2.3.2.27]
NVE17444,,
NVE26174,K16866,TIMP3; metalloproteinase inhibitor 3
NVE19863,K03263,EIF5A; translation initiation factor 5A
NVE8586,,
NVE18480,K09360,BARHL; BarH-like
NVE8666,K07890,RAB21; Ras-related protein Rab-21
NVE24600,K09515,DNAJB9; DnaJ homolog subfamily B member 9
NVE1068,,
NVE21498,K20349,TMED7; p24 family protein gamma-3
NVE6868,,
NVE22913,,
NVE20668,,
NVE8933,,
NVE6913,,
NVE7245,K01135,ARSB; arylsulfatase B [EC:3.1.6.12]
NVE19830,K02735,PSMB3; 20S proteasome subunit beta 3 [EC:3.4.25.1]
NVE3125,,
NVE14753,,
NVE11243,K12189,VPS25; ESCRT-II complex subunit VPS25
NVE25272,K16607,NICN1; nicolin-1
NVE16730,,
NVE23805,K06254,AGRN; agrin
NVE4935,,
NVE5785,,
NVE8784,,
NVE18046,,
NVE24430,,
NVE21629,K07754,DIO3; thyroxine 5-deiodinase [EC:1.21.99.3]
NVE15069,,
NVE416,K12195,CHMP6; charged multivesicular body protein 6
NVE4095,K16449,RGS; regulator of G-protein signaling
NVE23156,,
NVE6339,K13800,CMPK1; UMP-CMP kinase [EC:2.7.4.14]
NVE13054,,
NVE26111,K12861,BCAS2; pre-mRNA-splicing factor SPF27
NVE23890,,
NVE12667,,
NVE8948,,
NVE11328,K07834,RALA; Ras-related protein Ral-A
NVE17320,K15272,"SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3"
NVE25872,,
NVE17460,K03135,TAF11; transcription initiation factor TFIID subunit 11
NVE17793,,
NVE25999,,
NVE2814,,
NVE2195,,
NVE7620,,
NVE14780,,
NVE18249,,
NVE17748,,
NVE3364,,
NVE24442,,
NVE23720,K12819,SLU7; pre-mRNA-processing factor SLU7
NVE24296,,
NVE19968,K22190,MS4A3S; membrane-spanning 4-domains subfamily A member 3/4/8/12/15/18
NVE9534,,
NVE7432,,
NVE25256,,
NVE25954,,
NVE24623,,
NVE13367,,
NVE4778,,
NVE7530,,
NVE1657,,
NVE8768,K10734,GINS3; GINS complex subunit 3
NVE12603,,
NVE6710,,
NVE1014,,
NVE5838,K20364,MCFD2; multiple coagulation factor deficiency protein 2
NVE6457,K20721,RTN1; reticulon-1
NVE15851,K16855,NUDT16; U8 snoRNA-decapping enzyme [EC:3.6.1.62 3.6.1.64]
NVE10484,K17794,TIM23; mitochondrial import inner membrane translocase subunit TIM23
NVE7688,K14864,FTSJ1; tRNA (cytidine32/guanosine34-2'-O)-methyltransferase [EC:2.1.1.205]
NVE17026,K02946,RP-S10; small subunit ribosomal protein S10
NVE11644,,
NVE11133,,
NVE5659,K12741,HNRNPA1_3; heterogeneous nuclear ribonucleoprotein A1/A3
NVE6071,,
NVE14847,,
NVE13692,,
NVE24557,,
NVE7381,,
NVE18426,,
NVE2358,,
NVE24819,,
NVE25929,K20819,BORCS5; BLOC-1 related complex subunit 5
NVE362,,
NVE1628,,
NVE23145,,
NVE15566,K08735,MSH2; DNA mismatch repair protein MSH2
NVE7434,,
NVE12050,,
NVE21678,,
NVE2808,K05700,VCL; vinculin
NVE22814,,
NVE4308,,
NVE24553,,
NVE13170,K13528,MED20; mediator of RNA polymerase II transcription subunit 20
NVE7216,,
NVE14546,K02183,CALM; calmodulin
NVE22687,,
NVE3010,,
NVE18153,,
NVE9639,,
NVE19954,,
NVE13362,K11271,DSCC1; sister chromatid cohesion protein DCC1
NVE23579,K00799,GST; glutathione S-transferase [EC:2.5.1.18]
NVE8954,,
NVE10381,,
NVE7708,,
NVE8708,,
NVE6423,K14550,UTP10; U3 small nucleolar RNA-associated protein 10
NVE23460,,
NVE2161,K02947,RP-S10e; small subunit ribosomal protein S10e
NVE8834,,
NVE21341,,
NVE3334,K02969,RP-S20e; small subunit ribosomal protein S20e
NVE11513,K02208,CDK8_11; cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23]
NVE13018,,
NVE2854,K10776,LIG3; DNA ligase 3 [EC:6.5.1.1]
NVE9709,,
NVE25612,,
NVE8274,,
NVE13290,K00019,E1.1.1.30; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
NVE9717,,
NVE15093,,
NVE3733,K18849,BMT2; 25S rRNA (adenine2142-N1)-methyltransferase [EC:2.1.1.286]
NVE7019,,
NVE24086,,
NVE3935,,
NVE25569,K00522,FTH1; ferritin heavy chain [EC:1.16.3.2]
NVE21901,K16535,FOPNL; lisH domain-containing protein FOPNL
NVE8692,,
NVE13569,,
NVE8033,,
NVE15698,,
NVE11612,,
NVE13081,,
NVE8862,,
NVE12678,K17797,COX18; mitochondrial inner membrane protein COX18
NVE20401,K09250,CNBP; cellular nucleic acid-binding protein
NVE15220,,
NVE9104,,
NVE5557,,
NVE18333,K16530,AKAP14; A-kinase anchor protein 14
NVE14790,K22137,MCUR1; mitochondrial calcium uniporter regulator 1
NVE615,,
NVE23907,,
NVE16794,,
NVE24826,K00456,CDO1; cysteine dioxygenase [EC:1.13.11.20]
NVE22379,,
NVE11993,,
NVE9897,K09068,TAL; T-cell acute lymphocytic leukemia protein
NVE19020,K00591,COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]
NVE7528,,
NVE1405,,
NVE7168,,
NVE22934,,
NVE6646,,
NVE16593,,
NVE19132,K15275,"SLC35B1; solute carrier family 35 (UDP-galactose transporter), member B1"
NVE7838,,
NVE2785,,
NVE5725,,
NVE12575,,
NVE12977,K09341,MSX; homeobox protein MSX
NVE10079,,
NVE19413,,
NVE19019,,
NVE25386,,
NVE10818,,
NVE1082,,
NVE3045,,
NVE20576,K11140,ANPEP; aminopeptidase N [EC:3.4.11.2]
NVE22268,K06058,DTX; deltex [EC:2.3.2.27]
NVE2690,K14851,RRP17; ribosomal RNA-processing protein 17
NVE12715,,
NVE14617,K06966,uncharacterized protein
NVE6360,,
NVE15034,K11507,CENPO; centromere protein O
NVE7214,,
NVE3091,,
NVE9716,,
NVE22727,,
NVE5233,K11275,H1_5; histone H1/5
NVE21674,,
NVE20705,,
NVE3943,K17046,DEK; protein DEK
NVE11478,K00451,"HGD; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
NVE6909,K10411,"DNAL1; dynein light chain 1, axonemal"
NVE18339,K20838,NAT8; N-acetyltransferase 8 [EC:2.3.1.80 2.3.1.-]
NVE13953,,
NVE14851,,
NVE23537,,
NVE459,K04513,"RHOA; Ras homolog gene family, member A"
NVE13751,,
NVE18654,K19985,EXOC6; exocyst complex component 6
NVE5310,,
NVE21137,K19907,SYT7; synaptotagmin-7
NVE22168,,
NVE14527,K00546,HNMT; histamine N-methyltransferase [EC:2.1.1.8]
NVE19447,K01950,E6.3.5.1; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
NVE15869,,
NVE18451,,
NVE23512,,
NVE17783,,
NVE26191,,
NVE9378,,
NVE11309,,
NVE15027,K12185,VPS37; ESCRT-I complex subunit VPS37
NVE10283,K09542,"CRYAB; crystallin, alpha B"
NVE11437,,
NVE10210,,
NVE15262,K02950,RP-S12; small subunit ribosomal protein S12
NVE2251,,
NVE16217,,
NVE24125,,
NVE776,,
NVE5964,K05687,PARK7; protein DJ-1 [EC:3.5.1.124]
NVE26194,,
NVE3071,K02893,RP-L23Ae; large subunit ribosomal protein L23Ae
NVE14734,,
NVE14679,,
NVE2090,,
NVE13159,,
NVE16376,K07573,CSL4; exosome complex component CSL4
NVE2748,,
NVE25405,K04358,FGF; fibroblast growth factor
NVE18196,,
NVE16615,,
NVE9266,,
NVE21015,,
NVE8042,,
NVE6145,,
NVE18567,,
NVE4564,K12593,"MPHOSPH6; M-phase phosphoprotein 6, animal type"
NVE16173,,
NVE13433,K00736,"MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]"
NVE5089,,
NVE4913,,
NVE12604,,
NVE8497,,
NVE13213,,
NVE12078,,
NVE25710,,
NVE13649,,
NVE26136,,
NVE15032,K13754,"SLC24A6; solute carrier family 24 (sodium/potassium/calcium exchanger), member 6"
NVE7028,,
NVE3804,,
NVE24028,,
NVE19363,,
NVE12408,K08073,PNKP; bifunctional polynucleotide phosphatase/kinase [EC:3.1.3.32 2.7.1.78]
NVE12570,,
NVE7463,,
NVE24372,,
NVE16968,K14794,RRP12; ribosomal RNA-processing protein 12
NVE23356,,
NVE26133,,
NVE14702,,
NVE11216,,
NVE7178,,
NVE21688,,
NVE18061,K07208,RHEB; Ras homolog enriched in brain
NVE10085,,
NVE10475,,
NVE24130,K10345,SPSB3; SPRY domain-containing SOCS box protein 3
NVE7606,,
NVE11647,,
NVE19720,K09070,TCF15; transcription factor 15
NVE22559,,
NVE14222,,
NVE13747,,
NVE5202,,
NVE15618,,
NVE21426,,
NVE13908,K14560,IMP3; U3 small nucleolar ribonucleoprotein protein IMP3
NVE5514,,
NVE21854,,
NVE20573,,
NVE14944,K14973,PA1; PAXIP1-associated protein 1
NVE23521,,
NVE5096,K11307,MYST2; histone acetyltransferase MYST2 [EC:2.3.1.48]
NVE22810,,
NVE10454,,
NVE20882,,
NVE25376,,
NVE2594,,
NVE14083,K07944,ARL3; ADP-ribosylation factor-like protein 3
NVE21030,,
NVE25473,,
NVE14509,,
NVE24441,,
NVE2942,K02943,RP-LP2; large subunit ribosomal protein LP2
NVE2335,,
NVE20443,,
NVE14739,,
NVE21235,,
NVE11866,,
NVE10236,,
NVE2122,,
NVE9067,K07432,"ALG13; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"
NVE7928,,
NVE5241,K00327,POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
NVE6660,,
NVE16435,K12846,SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3
NVE21879,,
NVE12402,,
NVE18352,,
NVE2634,,
NVE20160,,
NVE6051,,
NVE12220,K11730,ACAD11; acyl-CoA dehydrogenase family member 11
NVE12179,K12383,GM2A; ganglioside GM2 activator
NVE2556,,
NVE589,,
NVE25545,,
NVE14480,,
NVE4336,K01759,GLO1; lactoylglutathione lyase [EC:4.4.1.5]
NVE765,,
NVE9853,,
NVE9829,,
NVE15559,K09067,ASCL; achaete-scute complex protein
NVE18853,K20302,TRAPPC3; trafficking protein particle complex subunit 3
NVE20312,,
NVE14776,,
NVE17082,,
NVE10811,,
NVE24564,,
NVE14555,,
NVE14354,K18398,ENPP5; ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
NVE24231,K16745,B9D2; B9 domain-containing protein 2
NVE5276,,
NVE20195,,
NVE1124,,
NVE4488,K02960,RP-S16e; small subunit ribosomal protein S16e
NVE24356,K15633,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
NVE4226,,
NVE25890,K06620,E2F3; transcription factor E2F3
NVE19734,K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
NVE15820,K19983,EXOC1; exocyst complex component 1
NVE9691,,
NVE19150,,
NVE3480,K07515,HADHA; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
NVE16611,,
NVE3420,,
NVE14909,,
NVE23561,K01047,PLA2G; secretory phospholipase A2 [EC:3.1.1.4]
NVE10774,,
NVE2843,K00714,"WNT8; wingless-type MMTV integration site family, member 8"
NVE12288,,
NVE10573,K03232,EEF1B; elongation factor 1-beta
NVE21218,K05658,"ABCB1; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]"
NVE5647,K15377,"SLC44A2_4_5; solute carrier family 44 (choline transporter-like protein), member 2/4/5"
NVE14370,,
NVE7831,,
NVE16365,,
NVE2757,,
NVE10289,,
NVE15364,,
NVE23619,,
NVE25910,,
NVE18918,,
NVE3022,,
NVE24718,,
NVE14187,,
NVE25026,K15025,EIF1AD; probable RNA-binding protein EIF1AD
NVE20859,,
NVE14362,K00522,FTH1; ferritin heavy chain [EC:1.16.3.2]
NVE2299,,
NVE15595,,
NVE1547,K00326,E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
NVE25292,,
NVE6095,,
NVE13941,,
NVE24162,,
NVE9511,,
NVE1444,,
NVE23394,,
NVE9655,,
NVE13697,,
NVE8973,,
NVE14306,,
NVE23964,,
NVE11937,,
NVE3740,,
NVE15509,K09454,"GABPB; GA-binding protein transcription factor, beta"
NVE14596,,
NVE12262,,
NVE10821,,
NVE24407,,
NVE7613,,
NVE14211,K16466,CETN3; centrin-3
NVE13486,,
NVE19276,,
NVE5053,,
NVE11979,,
NVE25231,K11969,ARIH2; ariadne-2 [EC:2.3.2.31]
NVE18532,K22314,GGP; glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16]
NVE17649,K07305,msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
NVE23756,,
NVE13287,,
NVE22147,,
NVE20430,K02950,RP-S12; small subunit ribosomal protein S12
NVE14561,,
NVE11661,,
NVE2301,,
NVE10317,,
NVE16330,K18160,NDUFAF2; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
NVE4176,,
NVE8459,,
NVE491,,
NVE16799,,
NVE3956,,
NVE3710,K01489,cdd; cytidine deaminase [EC:3.5.4.5]
NVE15927,K03017,RPB9; DNA-directed RNA polymerase II subunit RPB9
NVE3543,,
NVE18556,K02333,POLG2; DNA polymerase gamma 2
NVE1125,,
NVE20478,K17404,MRPS25; small subunit ribosomal protein S25
NVE7607,K02899,RP-L27; large subunit ribosomal protein L27
NVE19016,K04555,UBE2G2; ubiquitin-conjugating enzyme E2 G2 [EC:2.3.2.23]
NVE15106,K20123,PACSIN; protein kinase C and casein kinase substrate in neurons protein
NVE4399,,
NVE18580,,
NVE23882,,
NVE3146,,
NVE20507,K00799,GST; glutathione S-transferase [EC:2.5.1.18]
NVE14634,,
NVE703,,
NVE11894,,
NVE24692,,
NVE18784,,
NVE23492,,
NVE8778,,
NVE3105,,
NVE9955,,
NVE19835,,
NVE17860,,
NVE14038,K19491,DMRT4_5; doublesex- and mab-3-related transcription factor 4/5
NVE7417,,
NVE12549,K20909,ANTXR; anthrax toxin receptor
NVE4797,,
NVE15802,,
NVE5023,K08501,STX8; syntaxin 8
NVE22343,,
NVE17457,,
NVE16907,K00784,rnz; ribonuclease Z [EC:3.1.26.11]
NVE20768,,
NVE8965,,
NVE15854,K12751,MYL6; myosin light chain 6
NVE5039,,
NVE15630,,
NVE18577,,
NVE18181,K11841,USP10; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
NVE20058,K20406,NPRL3; nitrogen permease regulator 3-like protein
NVE1903,,
NVE4985,,
NVE25727,,
NVE20073,,
NVE24775,,
NVE6560,,
NVE24083,K10577,UBE2I; ubiquitin-conjugating enzyme E2 I
NVE2979,,
NVE5269,K06620,E2F3; transcription factor E2F3
NVE3301,K05309,PTGES2; microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]
NVE23497,,
NVE17664,,
NVE2513,,
NVE13636,,
NVE118,,
NVE6976,,
NVE4551,,
NVE20371,,
NVE26178,,
NVE24272,,
NVE22476,K02977,RP-S27Ae; small subunit ribosomal protein S27Ae
NVE19728,,
NVE7152,,
NVE8787,,
NVE5015,,
NVE13610,,
NVE17220,,
NVE9134,,
NVE6538,K00287,DHFR; dihydrofolate reductase [EC:1.5.1.3]
NVE6544,,
NVE17560,,
NVE15716,,
NVE20019,,
NVE1167,,
NVE13187,,
NVE6790,,
NVE8755,,
NVE15467,,
NVE18188,,
NVE4119,,
NVE23094,K01679,"E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]"
NVE1842,K17566,PPP1R27; protein phosphatase 1 regulatory subunit 27
NVE3688,,
NVE972,,
NVE23643,,
NVE20208,,
NVE368,,
NVE8415,,
NVE14096,,
NVE8271,,
NVE24488,,
NVE8909,,
NVE21492,K13096,SF4; splicing factor 4
NVE492,,
NVE2872,K17816,NUDT1; 8-oxo-dGTP diphosphatase / 2-hydroxy-dATP diphosphatase [EC:3.6.1.55 3.6.1.56]
NVE9784,,
NVE12153,K03635,MOCS2B; molybdopterin synthase catalytic subunit [EC:2.8.1.12]
NVE346,K17301,COPB1; coatomer subunit beta
NVE10991,K17253,MFGE8; lactadherin
NVE16335,,
NVE25387,,
NVE22269,,
NVE15204,K12751,MYL6; myosin light chain 6
NVE15675,,
NVE15080,,
NVE9271,,
NVE10442,,
NVE13060,,
NVE4705,,
NVE24025,,
NVE13744,,
NVE10553,K02953,RP-S13e; small subunit ribosomal protein S13e
NVE5176,K10408,
NVE4872,K18592,GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
NVE19647,K13103,TFIP11; tuftelin-interacting protein 11
NVE9833,K20183,VPS39; Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39
NVE2592,,
NVE12383,,
NVE16504,,
NVE515,,
NVE13303,,
NVE16608,K05754,"ARPC5; actin related protein 2/3 complex, subunit 5"
NVE20841,,
NVE4737,K15139,MED22; mediator of RNA polymerase II transcription subunit 22
NVE24560,,
NVE12460,K05361,GPX4; phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12]
NVE15301,,
NVE22769,,
NVE19967,,
NVE20268,,
NVE12127,,
NVE24953,,
NVE21897,,
NVE19153,,
NVE4158,K02326,POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]
NVE16156,,
NVE3324,K19363,LITAF; lipopolysaccharide-induced tumor necrosis factor-alpha factor
NVE23962,K03955,NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1
NVE13759,,
NVE8577,K05181,GABRB; gamma-aminobutyric acid receptor subunit beta
NVE12286,,
NVE22165,,
NVE4008,,
NVE10734,K09582,PDIA4; protein disulfide-isomerase A4 [EC:5.3.4.1]
NVE1819,K02328,POLD2; DNA polymerase delta subunit 2
NVE25606,K03016,"RPB8; DNA-directed RNA polymerases I, II, and III subunit RPABC3"
NVE16159,,
NVE11563,,
NVE20337,,
NVE20091,,
NVE5999,K09084,ATOH8; atonal protein 8
NVE13294,,
NVE15814,,
NVE5856,,
NVE2691,K20398,LAMTOR2; ragulator complex protein LAMTOR2
NVE20909,,
NVE14661,,
NVE25873,,
NVE11268,,
NVE10118,,
NVE7744,,
NVE17423,,
NVE15722,K03574,mutT; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
NVE18253,,
NVE6963,K01698,hemB; porphobilinogen synthase [EC:4.2.1.24]
NVE17103,,
NVE12637,,
NVE13317,,
NVE955,K05039,"SLC6A6S; solute carrier family 6 (neurotransmitter transporter, GABA) member 6/8/11/12/13"
NVE16479,,
NVE18829,,
NVE2793,K13238,"DCI; 3,2-trans-enoyl-CoA isomerase, mitochondrial [EC:5.3.3.8]"
NVE9561,K13960,UBE2T; ubiquitin-conjugating enzyme E2 T [EC:2.3.2.23]
NVE2520,,
NVE22999,K11648,SMARCB1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
NVE24595,,
NVE11214,,
NVE18930,K02911,RP-L32; large subunit ribosomal protein L32
NVE4852,K12873,BUD31; bud site selection protein 31
NVE23761,,
NVE9865,,
NVE8548,K22369,EPHX4; epoxide hydrolase 4 [EC:3.3.-.-]
NVE12595,,
NVE3331,K02969,RP-S20e; small subunit ribosomal protein S20e
NVE15769,K08513,VAMP4; vesicle-associated membrane protein 4
NVE11578,K02997,RP-S9e; small subunit ribosomal protein S9e
NVE13478,,
NVE5046,,
NVE23572,K09877,AQP9; aquaporin-9
NVE2552,,
NVE16563,,
NVE17766,,
NVE10597,,
NVE18808,K19911,SYT11; synaptotagmin-11
NVE24992,K09569,FKBP2; FK506-binding protein 2 [EC:5.2.1.8]
NVE23632,,
NVE9657,,
NVE10817,,
NVE238,,
NVE12963,,
NVE11938,,
NVE9922,,
NVE11050,,
NVE15318,,
NVE4596,,
NVE21433,,
NVE19464,,
NVE6784,K02951,RP-S12e; small subunit ribosomal protein S12e
NVE21372,,
NVE25421,,
NVE6800,,
NVE16708,,
NVE7146,,
NVE17809,,
NVE23181,K05765,CFL; cofilin
NVE3983,K21598,GCM; chorion-specific transcription factor GCM
NVE10189,K05759,PFN; profilin
NVE17961,,
NVE20937,,
NVE24040,K11275,H1_5; histone H1/5
NVE939,K20364,MCFD2; multiple coagulation factor deficiency protein 2
NVE16667,,
NVE20042,,
NVE10782,,
NVE7896,,
NVE22431,,
NVE23530,K08504,BET1; blocked early in transport 1
NVE17266,K11251,H2A; histone H2A
NVE23691,,
NVE22988,,
NVE14745,,
NVE10582,,
NVE21349,K11251,H2A; histone H2A
NVE22962,,
NVE2667,,
NVE6494,,
NVE21344,,
NVE593,,
NVE23872,,
NVE18125,,
NVE17976,K00700,"GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
NVE15198,,
NVE25578,,
NVE23397,,
NVE18214,,
NVE3782,,
NVE18842,K11253,H3; histone H3
NVE10613,,
NVE12404,,
NVE25318,,
NVE19759,,
NVE15668,K11253,H3; histone H3
NVE24579,,
NVE19817,K02901,RP-L27e; large subunit ribosomal protein L27e
NVE799,K02875,RP-L14e; large subunit ribosomal protein L14e
NVE5632,,
NVE17980,,
NVE7962,,
NVE8975,,
NVE11239,,
NVE6992,,
NVE4568,,
NVE7079,K10435,MAP1LC; microtubule-associated protein 1 light chain
NVE4698,,
NVE4299,,
NVE22911,,
NVE24049,K11251,H2A; histone H2A
NVE11641,,
NVE7085,,
NVE12817,K14157,AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
NVE4911,,
NVE15587,,
NVE5432,,
NVE11956,,
NVE24577,K04468,NLK; nemo like kinase [EC:2.7.11.24]
NVE18650,,
NVE2607,,
NVE25051,,
NVE1600,,
NVE19660,,
NVE10478,,
NVE13788,,
NVE2017,,
NVE13481,,
NVE12795,,
NVE6991,,
NVE18819,,
NVE15862,,
NVE24114,,
NVE25987,,
NVE19658,,
NVE6667,,
NVE2577,,
NVE15945,K00522,FTH1; ferritin heavy chain [EC:1.16.3.2]
NVE873,,
NVE25323,,
NVE3161,,
NVE16616,,
NVE1065,,
NVE21522,,
NVE9384,,
NVE453,,
NVE1428,K01803,TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
NVE4813,,
NVE5190,,
NVE12244,,
NVE14992,K13339,PEX6; peroxin-6
NVE15058,K08838,STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
NVE23837,,
NVE4713,,
NVE556,K05941,E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]
NVE18742,K11317,TADA1; transcriptional adapter 1
NVE13025,,
NVE15581,,
NVE14549,,
NVE19691,K04798,pfdB; prefoldin beta subunit
NVE25748,,
NVE17848,,
NVE2728,,
NVE5694,,
NVE25426,K07515,HADHA; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
NVE20730,,
NVE10056,,
NVE24157,,
NVE2143,,
NVE7364,K03027,RPC40; DNA-directed RNA polymerases I and III subunit RPAC1
NVE14577,,
NVE24561,,
NVE8027,,
NVE9619,K02152,ATPeV1G; V-type H+-transporting ATPase subunit G
NVE1429,,
NVE23089,,
NVE3078,K02266,COX6A; cytochrome c oxidase subunit 6a
NVE18194,K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
NVE4159,,
NVE12742,,
NVE20196,,
NVE21829,,
NVE14772,,
NVE25668,,
NVE10065,,
NVE14584,,
NVE18438,,
NVE12465,,
NVE22901,,
NVE15718,,
NVE3808,,
NVE10465,,
NVE9468,K11251,H2A; histone H2A
NVE17753,,
NVE24021,,
NVE285,,
NVE9294,K01112,PHPT1; phosphohistidine phosphatase [EC:3.9.1.3]
NVE24858,K11251,H2A; histone H2A
NVE15138,,
NVE4669,,
NVE24276,,
NVE21651,,
NVE22865,,
NVE8208,,
NVE11515,,
NVE9475,K18171,CMC1; COX assembly mitochondrial protein 1
NVE2614,,
NVE17143,,
NVE23232,,
NVE22251,,
NVE6389,K08875,NRBP; nuclear receptor-binding protein
NVE9154,K02891,RP-L22e; large subunit ribosomal protein L22e
NVE17491,,
NVE15542,,
NVE8851,K11252,H2B; histone H2B
NVE20687,,
NVE10985,K17682,MNF1; mitochondrial nucleoid factor 1
NVE14705,K11252,H2B; histone H2B
NVE25770,,
NVE7753,,
NVE12456,K02907,RP-L30; large subunit ribosomal protein L30
NVE23277,,
NVE12091,,
NVE12698,K17218,sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
NVE24043,K11252,H2B; histone H2B
NVE17265,K11252,H2B; histone H2B
NVE19909,,
NVE20545,,
NVE24113,,
NVE16205,,
NVE12409,K11252,H2B; histone H2B
NVE3150,,
NVE11032,,
NVE8513,K15294,CPLX1_2; complexin-1/2
NVE23888,,
NVE19490,K10185,TBX20; T-box protein 20
NVE6022,,
NVE3842,,
NVE9627,,
NVE9560,K17199,RASEF; Ras and EF-hand domain-containing protein
NVE10224,,
NVE19847,,
NVE1916,,
NVE25183,K16569,TUBGCP2; gamma-tubulin complex component 2
NVE12693,,
NVE11559,K03257,EIF4A; translation initiation factor 4A
NVE1355,,
NVE10231,,
NVE21282,,
NVE15287,,
NVE14755,,
NVE21017,,
NVE25945,,
NVE24254,K03023,RPC3; DNA-directed RNA polymerase III subunit RPC3
NVE16495,,
NVE12312,K14822,CGR1; rRNA-processing protein CGR1
NVE23804,,
NVE5352,,
NVE17061,,
NVE7281,,
NVE996,,
NVE12614,,
NVE2626,,
NVE20146,K09353,LBX; homeobox protein LBX
NVE13011,K21775,LIN52; protein lin-52
NVE26164,,
NVE1425,,
NVE4051,K03104,SRP14; signal recognition particle subunit SRP14
NVE681,K09705,uncharacterized protein
NVE22076,,
NVE8115,,
NVE752,,
NVE19519,K00543,ASMT; acetylserotonin N-methyltransferase [EC:2.1.1.4]
NVE14191,K06069,PRKCI; atypical protein kinase C iota type [EC:2.7.11.13]
NVE19707,,
NVE10791,K08341,GABARAP; GABA(A) receptor-associated protein
